case_id,description,case_category,crime_type,severity,vulnerability,influence,plain_summary
REAL_0000,"AI are involved in this legal dispute. The document appears to concern a violent matter with fatal severity. This summary was generated locally because the Gemma API response was unavailable. violent criminal assault murder injury victim weapon homicide rape dacoity robbery kidnapping abduction dowry death cruelty sexual assault domestic violence human trafficking culpable homicide AI-Powered Case Priority Prediction System: A Hybrid approach to Judicial Triage Abstract The rapid accumulation of pending cases in judicial systems worldwide, particularly in India, poses a significant threat to the timely delivery of justice. ""Justice delayed is justice denied."" This paper presents an AI-Powered Case Priority Prediction System designed to assist judicial authorities in triaging and prioritizing cases. The system utilizes a novel hybrid architecture, combining the advanced Natural Language Processing (NLP) capabilities of Large Language Models (LLMs) with the interpretability of traditional Decision Tree algorithms. By extracting factual features from unstructured legal documents and applying constitutionally grounded rules, the system categorizes cases into High, Medium, and Low priorities, providing an explainable decision path for every prediction. 1. Introduction The backlog of judicial cases necessitates a robust mechanism to prioritize matters based on severity, vulnerability, and risk. Traditional manual triage is time-consuming and subjective. While AI offers potential solutions, deep learning models often operate as ""black boxes,"" which is unacceptable in legal domains where explainability and constitutional justification are paramount. This project introduces a hybrid framework that bridges the gap between advanced text understanding and deterministic, rule-based classification, ensuring that the final priority assigned to any case is transparent, unbiased, and aligned with constitutional principles. 2. Unique Selling Proposition (USP) The primary USP of the Anavaya Case Priority System lies in its Hybrid Architectural Separation of Concerns: • LLM as an Extractor, Not a Decider: While modern systems often use LLMs to make final decisions, this system strictly limits the LLM (NVIDIA Gemma- 4-31b-it) to extracting factual features (e.g., crime type, severity, parties involved) from raw text. • Deterministic Decision Making: The final priority is determined solely by a trained Decision Tree. This ensures complete transparency, allowing the system to output an exact, human-readable ""Decision Path"" (e.g., if severity == Fatal AND vulnerability == High then Priority = High). • Constitutional Grounding: Every prediction is paired with a direct justification based on Indian Constitutional Articles (e.g., Article 21 for Right to Life, Article 14 for Equality). 3. Technology Stack The system is built",Criminal/Violent,Violent,Major,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates murder, rape, assault, weapon. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
REAL_0001,"A K Kaimal vs Sudarsen Trading Co Ltd And Anr are involved in this legal dispute. The document appears to concern a non-violent matter with no injury severity. This summary was generated locally because the Gemma API response was unavailable. central excise excise duty tariff assessable value refund tax cenvat modvat gst service tax income tax customs duty penalty demand notice show cause adjudication classification exemption rebate A.K. Kaimal vs Sudarsen Trading Co. Ltd. And Anr. on 1 January, 1800 Equivalent citations: AIR1976KANT203, ILR1976KAR834, 1976(1)KARLJ342 JUDGMENT Venkataswami, J. 1. This appeal under Section 75(2) of the Provincial Insolvency Act (Insolvency Act) is directed against an order made by the District Judge at Mysore in Insolvency Case No. 4 of 1972, whereby the appellant's petition preferred under Section 7 of the Insolvency Act had been dismissed. 2. The appellant preferred a petition under Section 7 of the Insolvency Act to be adjudged as an insolvent as he was unable to pay two items of debts due to the respondents. One of the items represents a debt of Rs. 3,010/- and evidenced by a decree Passed in 0. S. No. 543 of 1971 on the file of the First Munsiff at Mysore. The other item consists of a sum of Rs. 13,319-96 with interest alleged to be due to the second respondent on account of supplies of superphoshpate made by the second respondent to the appellant. 3. The learned District Judge on an examination of the appellant came to the conclusion that the first debt had been established and the second could not be accepted as subsisting even if the transaction alleged was true. He, however, dismissed the petition on the ground that the appellant who on his retiring from service under Chamundy Curing Works in the year 1969 had received a sum of Rs. 6,000 to 7,000, presumably as a retirement benefit, was unable to account as to the manner in which he dealt with or spent the said amount. In short, the Court, as it appears to us, came to the conclusion that the petitioner's claim that he was unable to Pay the said debts could not be believed. Hence this appeal. 4. In support of the appeal, Sri M. Shivappa, the learned counsel, contended that having regard to the provisions of Sections 7 and 10(1) of the Insolvency Act, it was premature for the Court to have examined the bona fides of the appellant in the context of his inability to pay the debts. He further contended that at that stage all that the Court was required to examine was whether or not a Prima facie case had been made out having regard to the provisions of the Act particularly Section 10(1) of that Act. It seems to us that this contention is well founded and this appeal clearly deserves to succeed. 5. It is sufficient for this Purpose to refer to the enunciation of the true legal position in regard to a matter of this nature where a debtor himself approaches the Court to be adjudged as an insolvent,",Excise/Tax,Non-Violent,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Excise/Tax because the document indicates central excise, excise duty, assessable value, customs duty. Under the Constitution of India, the rights engaged are Article 265, Article 14, Article 19(1)(g), Article 300A, Article 301, Article 21. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law, Doctrine of Reasonable Classification."
REAL_0002,"Alembic Glass Industries Ltd vs Union Of India And Ors are involved in this legal dispute. The document appears to concern a non-violent matter with minor severity. This summary was generated locally because the Gemma API response was unavailable. central excise excise duty tariff assessable value refund tax cenvat modvat gst service tax income tax customs duty penalty demand notice show cause adjudication classification exemption rebate Alembic Glass Industries Ltd vs Union Of India And Ors. on 1 January, 1800 Equivalent citations: 1979(4)ELT461(KAR) JUDGMENT 1. These are two writ petitions under Article 226 of the Constitution,preferred by the common petitioner Alembic Glass Industries Ltd. (with wewill coll ""The Company""), challenging the levy and collection of exciseduty on the value of the material used for packing the glass andglassware manufactured and sold by the Company. 2. Shortly, stated, the facts are these :- The Company which is incorporated under the Companies Act, having itsregistered office at Alembic Road, Baroda, carries on the business ofmanufacture and sale of glassware in its factory at whitefield, Banglore.Glass and Glassware are chargeable with and valorem duty of fifteen percent as specified under Item 23A of the First Schedule to the CentralExcises and Salt Act, 1944 (hereinafter referred to as ""the Act""). theduty is paid at the said rate on the wholesale price of the articles, asper its price list approved in advance by the excise authorities. Forthe period 1-3-1968, the Company paid duty on the articles manufacturedby it as and when they were released for sale under permits issued bythe authorities under the Act. On 31-1-1968, the Assistant Collector ofCentral Excise demanded a sum of Rs. 19,889.93 of which according to himrepresents fifteen per cent duty payable by the company for the period1-3-1966 to 31-1-1968, on the packing charges of the bottles sold to itscustomers. The Company objected to the said demand on the ground that the packingcharges incurred by it do not from part of the price of the excisablearticles sold any no duty is levaible on `packing charges'. TheAssistant Collector by his order dated 26-6-1968 confirmed the saiddemand which was also affirmed by the Collector of Central Excise in anappeal preferred by the Company. Aggrieved by the decision of theauthorities, the company has preferred Writ Petition No. 548 of 1970,praying for an order quashing the demand for payment of Rs. 19,889.93. 3. To understand the controversy in question, we must explain what theCompany does. The Company manufactures glass containers and bottles ofvarious sizes as per the needs of its customers who are mostlymanufacturers of liquors, pharmaceuticals, toilets, oils, chemicals andmilk products. These containers are sometimes purchased in unpackedcondition but more often, the buyers require them to be packed anddespatched to them. In one, the bottles are packed in gra",Excise/Tax,Non-Violent,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Excise/Tax because the document indicates central excise, excise duty, excises and salt act, collector of central excise. Under the Constitution of India, the rights engaged are Article 265, Article 14, Article 19(1)(g), Article 300A, Article 301, Article 21. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law, Doctrine of Reasonable Classification."
REAL_0003,"Alembic Glass Industries Ltd vs Union Of India are involved in this legal dispute. The document appears to concern a non-violent matter with no injury severity. This summary was generated locally because the Gemma API response was unavailable. central excise excise duty tariff assessable value refund tax cenvat modvat gst service tax income tax customs duty penalty demand notice show cause adjudication classification exemption rebate Alembic Glass Industries Ltd. vs Union Of India on 1 January, 1800 Equivalent citations: 1990(25)ECC39, 1990ECR180(KARNATAKA), 1990(48)ELT232(KAR) JUDGMENT 1. In this writ petition filed by the petitioner's company, a manufacturer of glass ware, the order passed by the Assistant Collector of Central Excise, Bangalore,the second respondent herein, dated 22-2- 1989 (Anx- `h'), is challenged. By the said order a refund of Rs. 27,89,502-00 was granted to the petitioner rejecting the claim for refund of Rs. 14,80,663-98 Ps. 2. Certain antecedent facts and the chronology of events culminating in the impugned order are necessary to be mentioned at the outset. 3. A Writ petition was filed before this Court by the petitioner in W. P. No. 599.1975 challenging the validity of Section 4(4)(d)(i) of the Central Excises and Salt Act, 1944 (""the Act"") (as amended by Central Act 22/73)and a show case notice issued by the Assistant Collector proposing to withdraw the approval of price-lists and to include the cost of packing materials supplied by the buyers to the price of the goods purposes of levy of excise duty. 4. This Court upheld the validity of Section 4(4)(d)(i) of the Act following the decision of the supreme Court in Union of India & Ors. v. Bombay Tyre International Ltd. & Ors. ). So far as the show cause notice was concerned, it was quashed and a direction was issued to examine and decide the claim for refund of excise duty paid on the cost of packing material supplied by the buyers, in accordance with law.' 5. Dealing with the validity of the show cause notice, this Court rejected the contentions of the Department and the reliance placed by the Department on a Circular issued by the Collector of Central Excise, Bangalore. Allowing the writ petition this Court held that the cost of packing material supplied by the buyer himself should not be included in the value of the excisable goods for purpose of excise duty. 6. After the decision of this Court in W. P. No. 5995/75 dated 23-1- 1985 rendered by a Division Bench (of which I was Member), the petitioner made a claim for refund of the excise duty paid under protest up to 14- 5-1985. The said application was filed on 6-9-1985 claiming refund of Rs. 42,78,947-07 ps. being the total cost of packing materials supplied by the buyers. 7. The second responded, by his order dated 6-1-1988, granted refund of Rs. 27,89,502/- and disallowed the claim in respect of Rs. 14,80,663-98 on the sole ground that the petitioner had",Excise/Tax,Non-Violent,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Excise/Tax because the document indicates central excise, excise duty, excises and salt act, collector of central excise. Under the Constitution of India, the rights engaged are Article 265, Article 14, Article 19(1)(g), Article 300A, Article 301, Article 21. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law, Doctrine of Reasonable Classification."
REAL_0004,"Asha Rubber Industries Bangalore vs Collector Of Central Excise Bangalore are involved in this legal dispute. The document appears to concern a non-violent matter with minor severity. This summary was generated locally because the Gemma API response was unavailable. central excise excise duty tariff assessable value refund tax cenvat modvat gst service tax income tax customs duty penalty demand notice show cause adjudication classification exemption rebate Asha Rubber Industries, Bangalore vs Collector Of Central Excise, Bangalore on 1 January, 1800 Equivalent citations: 1988(15)ECC250, 1988(34)ELT528(KAR), 1987(3)KARLJ188 ORDER 1. The petitioner is an assessee under the Central Excise Act (the Act). Against the order of Collector, Central Excise, Bangalore dated 28-10-1986 (Annexure - B), the petitioner filed an appeal before the Central Excise and Gold Control Appellate Tribunal, New Delhi (CEGAT). Along with the appeal, the petitioner filed an application under Section 35F of the Act to dispense with the requirement of deposit of duty of Rs. 21,74,402.78ps. and a penalty of Rs. 10,00,000/- imposed by the Collector. 2. It was pleaded by the petitioner in the said application that the Tribunal may dispense with the pre-deposit on the following grounds : (i) that the order of the Collector was based on certain statement of his employees and customers which were relied upon by without giving an opportunity to the petitioner to cross-examine them; (ii) that the quantum of differential duty was arrived at on the assumption that the petitioner had cleared treadrubber of higher quality and had declared lower value before the department; (iii) that this allegation was based on the report of the Chemical Analyst which was relied upon by the Collector without furnishing a copy of the same to the petitioner; and, (iv) that the order of the Collector was entirely based on certain hypothetical calculations and solely based on one sale-bill, and, hence, the entire demand was disputed in the appeal on several grounds. 3. Besides the grounds enumerated in the application under Section 35F of the Act, the grounds urged in the Memorandum of appeal, in detail, also pressed to be taken into consideration while considering the application under Section 35F of the Act. 4. The liquidity position of the petitioner and the inability to furnish bank-guarantee for the huge sum of more than 30 lakhs, was also advanced before the Tribunal. 5. On behalf of the petitioner it was argued by Sri K.N. Balagopalan that this Court should interfere with the order of the Tribunal for the following reasons :- Asha Rubber Industries, Bangalore vs Collector Of Central Excise, Bangalore on 1 January, 1800 Indian Kanoon - http://indiankanoon.org/doc/692616/ 1 (i) that the computation of the differential duty is arbitrary and capricious and is based on the report of the Chemical Analyst, which was relied upon by the Collector without confronting the",Excise/Tax,Non-Violent,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Excise/Tax because the document indicates central excise, excise duty, collector of central excise, assessable value. Under the Constitution of India, the rights engaged are Article 265, Article 14, Article 19(1)(g), Article 300A, Article 301, Article 21. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law, Doctrine of Reasonable Classification."
REAL_0005,"B S Madhva Company And Ors vs Kapila Textile Mills Ltd And Anr are involved in this legal dispute. The document appears to concern a non-violent matter with no injury severity. This summary was generated locally because the Gemma API response was unavailable. central excise excise duty tariff assessable value refund tax cenvat modvat gst service tax income tax customs duty penalty demand notice show cause adjudication classification exemption rebate B.S. Madhva & Company And Ors. vs Kapila Textile Mills Ltd. And Anr. on 1 January, 1800 Equivalent citations: [1966]36COMPCAS63(KAR), (1967)1MYSLJ JUDGMENT 1. This is an application under Section 446 of the Companies Act of 1956 by one of the creditors of the Kapila Textile Mills Limited in liquidation. The particular clause of that section which is obviously the basis for this application is clause [d] of sub-section [2] which confers jurisdiction on the winding-up court to entertain and dispose of any question of priorities or any other question whatsoever, whether of law or fact, which may relate to or arise in the course of the winding up of the company. 2. The first respondent to the application is the company itself represented by the official liquidator. Although the only other respondent is the Bank of Mysore, the prayers in the application being those which have wider scope and may affect the rights of other unsecured creditors also, the earliest orders passed on this application by this court were to notify the other unsecured creditors of the company as well as the State of Mysore which is the guarantor in respect of two mortgage loans claimed by the second respondent, the Bank of Mysore. 3. The claim by the applicants arises out of a building contract entered into between them and the company when it was just started. The applicants are a firm of engineers and builders constituted of two partners, viz., Abdul Wajid [now no more] and B.S. Madhava. The first named Abdul Wajid was also one of the directors of the company. 4. The building contract is represented by two documents-one called the articles of agreement with a schedule of rates annexed to it and the other called the conditions of contract. Both are dated 20th November, 1948. I shall make a more detailed reference to these documents at a later stage. 5. It will be sufficient for the present to state that the conditions of contract contains a clause for reference to arbitration of disputes between the parties relating to the contract. 6. The applicants after executing certain works tendered bills for payment which, according to them, were in accordance with the terms of the contract. The bills were not paid promptly or in accordance with the relevant terms of the contract. There were delays in payment and consequently disputes arose between the parties in relation to the bills which ultimately resulted in the parties proceeding under the arbitration clause mentioned above. It is unnecessa",Excise/Tax,Non-Violent,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Excise/Tax because the document indicates central excise, excise duty, assessable value, customs duty. Under the Constitution of India, the rights engaged are Article 265, Article 14, Article 19(1)(g), Article 300A, Article 301, Article 21. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law, Doctrine of Reasonable Classification."
REAL_0006,"Cipla Limited vs Union Of India are involved in this legal dispute. The document appears to concern a non-violent matter with no injury severity. This summary was generated locally because the Gemma API response was unavailable. central excise excise duty tariff assessable value refund tax cenvat modvat gst service tax income tax customs duty penalty demand notice show cause adjudication classification exemption rebate Cipla Limited vs Union Of India on 1 January, 1800 Equivalent citations: 1990(25)ECC444, 1990(46)ELT240(KAR) ORDER 1. The petitioner -company is a manufacturer of patent or proprietary medicines at its factory in Bangalore. Among the several products the petitioner manufacturers Salbutamol Sulphate (hereinafter referred to as `SS') and also produces Benzyl Methyl Salicylate (`BMS'), which is an input which goes into the manufacture of the `bulk-drug' salbutamol sulphate. `BMS' manufactured by the petitioner- company is consumed in entirety in the manufacture of the said bulk- drug. It is also stated in the petition that `BMS', which is a bulk- drug intermediate is not used in the manufacture of any other drug whatsoever and is used exclusively for the manufacture of `salbutamol sulphate.' It is also the case of the petitioner that `BMS' is not sold in the market either by the petitioner-company or any other company. 2. In the classification list filed by the petitioner-company during the years 1986-87, as per Annexures-B and B1, `BMS' was shown in Col.2 among `other organic chemicals' produced by the petitioner-company and exemption was claimed in respect of the said chemical as `non- excisable'. 3. Thereafter, two show cause notices were issued by the Superintendent of Central Excise Hoskote Range, Bangalore-46 on 25-8- 1987 (Annexures- `C' and `D'), as to why `BMS' should not be classified under the sub- heading 2942.00 and for the latter period under the sub-heading - 2913.00. After an elaborate reply filed by the petitioner to the said notices and affording a personal hearing to the petitioner, an adjudication order was made by the Assistant Collector of Central Excise, Cantonment Division, on 25-2-1988, as per Annexure- G. 4. ""BMS"" manufactured by the petitioner-company was held an excisable product classifiable under ""other organic compounds"" under the heading - 2913.00 upto 9-2-1987 and under heading 2942.00 from 10-2-1987 onwards. 5. This order was challenged by the petitioner-company before this Court in W.P.No. 7428 of 1988. By order dated 21/27th July 1988 this court allowed the writ petition and quashed the order dated 25-2-1988 and remanded the matter to the second respondent to make a fresh order in accordance with law and in the light of the observations made in the said order. 6. After the said remand, the petitioner was again heard and a `de novo' order was made on 23-12-1988 which is challenged by the petitioner in this writ petition, mor",Excise/Tax,Non-Violent,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Excise/Tax because the document indicates central excise, excise duty, collector of central excise, assistant collector of central excise. Under the Constitution of India, the rights engaged are Article 265, Article 14, Article 19(1)(g), Article 300A, Article 301, Article 21. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law, Doctrine of Reasonable Classification."
REAL_0007,"Deepak Extrusion And Anr vs J T Chopra Assistant Collector Of are involved in this legal dispute. The document appears to concern a non-violent matter with minor severity. This summary was generated locally because the Gemma API response was unavailable. central excise excise duty tariff assessable value refund tax cenvat modvat gst service tax income tax customs duty penalty demand notice show cause adjudication classification exemption rebate Deepak Extrusion And Anr. vs J.T. Chopra Assistant Collector Of ... on 1 January, 1800 Equivalent citations: 1988(15)ECC405, 1988(34)ELT432(KAR), ILR1989KAR1195, 1988(3)KARLJ48 JUDGMENT 1. Petitioner No. 1 is a private limited company who is the manufacturer of aluminium collapsible tubes and rigid cans under a license granted under the Central Excises and Salt Act (the `Act'). Petitioner NO. 2 is the Managing Director and a shareholder of 1st petitioner-company. 2. The petitioners have challenged the constitutional validity of the amendment to Section 2(f) and Tariff Item 27 of the First Schedule;e to the Central Excise Act, elected by Finance Fact (2) of 1980. The relevant provisions, viz., Item 27 which stood before its amendment with effect from 17th June 1980, reads thus:- (a) xxxxx (b) xxxxx (c) xxxxx (d) xxxxx (e) Extruded shapes and sections including extruded pipes and tubes. 3. The term, `Manufacture' as defined under Section 2(f) of the said Act, before its amendment, read thus :- ""`manufacture' includes any process incidental or ancillary to the completion to a manufactured product."" 4. The aluminium collapsible tubes and rigid cans manufactured by the petitioner No. 1 were chargeable to duty under the Central Excises Act under Tariff Item 27 of I Schedule to the Act. This item as it stood prior to 17-6-80 reads as : 27. Aluminium (f) containers made of aluminium. 5. Both Section 2(f) and Item 27 underwent change by Finance (No. 2) Act of 2980. 6. In the definition Section,` manufacture' after sub-clause (vii), the following sub-clause was inserted, viz., ""(viii) in relation to aluminium, includes lacquering or printing or both of plain containers."" 7. Corresponding change in Tariff Item 27 in the I Schedule to the Act was also substituted and read thus:- 27. ""Aluminium"" and products thereof- Deepak Extrusion And Anr. vs J.T. Chopra Assistant Collector Of ... on 1 January, 1800 Indian Kanoon - http://indiankanoon.org/doc/314568/ 1 ""Aluminium"" shall include nay alloy in which aluminium predominates by weight over each of the other metals."" (11) Containers, plain, lacquered or printed or lacquered and printed."" 8. In the Writ Petition; the petitioner have challenged the constitutional validity of the amended Section; 2(f) and Tariff Item NO. 27 in the First Schedule referred to above as amended by Finance (No. 2) Act of 1980. 9. An amendment to the petition was sought by I.A.I. to amend the Writ Petition to include the corresponding provisions in",Excise/Tax,Non-Violent,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Excise/Tax because the document indicates central excise, excise duty, excises and salt act, central excises. Under the Constitution of India, the rights engaged are Article 265, Article 14, Article 19(1)(g), Article 300A, Article 301, Article 21. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law, Doctrine of Reasonable Classification."
REAL_0008,"Pooja Exporters vs Assistant Director D R I are involved in this legal dispute. The document appears to concern a non-violent matter with major severity. This summary was generated locally because the Gemma API response was unavailable. customs import export seizure confiscation smuggling licence bill of entry shipping bill foreign trade drawback clearance fema foreign exchange prohibited goods contraband Pooja Exporters vs Assistant Director, D.R.I. on 1 January, 1800 Equivalent citations: 1988(18)ECC407, 1989(22)ECR86(KARNATAKA), 1989(41)ELT21(KAR), ILR1988KAR2985, 1988(3)KARLJ300 ORDER Swami, J. 1. In this petition under article 226 of the constitution, the petitioner has sought for the following reliefs: (a) Issue writ of mandamus or any other order or direction or appropriate writ directing respondent no. 1 to release in favour of the petitioner-firm 51 bales of 100% mulbery raw silk seized on 21-9- 1987 and thereafter from the premises of the petitioner and from the premises of M/s. Shivananda Silk Koti, Vasavi Silks, B. T. V. Silks, Kamal Silks and from M/s. G. Shanthilal Transport company holding the same as being without jurisdiction and illegal. (b) Issue writ of prohibition or any other appropriate writ or order or direction as the goods [case] may be prohibiting respondent no. 1 from conducting/holding any proceedings/enquiry with respect of 51 bales of 100% mulberry raw silk imported by the petitioner in pursuance to import licence validly and legally. (c) Grant such relief or reliefs as this Honble court may deem fit and proper in the circumstances of the case. 2. The petitioner is a registered partnership firm having its head office at phagawara and a branch office at Bangalore. It is the case of the petitioner that it is an exporter of pure silk textile goods manufactured out of 100% mulberry raw silk imported under the import licence. 3. It is contended on behalf of the petitioner that it has imported 60 bales of 100% mulberry raw silk pursuant to the advance import licence granted to it under the provisions of the Imports and Exports (Control)Act, 1947 read with Import and Export policy for the period from April 1987 to March 1988; that after taking delivery of 60 bales of mulberry raw silk at Bombay port, the same were transported to Bangalore through M/s. G. Shantilal Transport Co., for the purpose of twisting and for carrying out manufacturing process and thereafter to return the manufactured goods to phagwara for embroidery work and thereafter to export the same out of India; that the petitioner has complied with the conditions of the licence' therefore, the Customs Authorities have no jurisdiction either to seize or to take any action in the matter. In support of these contentions, the petitioner has produced the Advance Licence issued under Duty Exemption scheme dated 7-5-1987 Pooja Exporters vs Assistant Director, D.R.I. on 1 Januar",Customs/Import-Export,Non-Violent,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Customs/Import-Export because the document indicates customs, import, export, advance licence. Under the Constitution of India, the rights engaged are Article 14, Article 19(1)(g), Article 300A, Article 265, Article 301, Article 21. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation."
REAL_0009,"Rakhra Sports Private Ltd And Others vs Khraitilal Rakhra And Others are involved in this legal dispute. The document appears to concern a non-violent matter with fatal severity. This summary was generated locally because the Gemma API response was unavailable. central excise excise duty tariff assessable value refund tax cenvat modvat gst service tax income tax customs duty penalty demand notice show cause adjudication classification exemption rebate Rakhra Sports Private Ltd. And Others vs Khraitilal Rakhra And Others on 1 January, 1800 Equivalent citations: [1993]76COMPCAS545(KAR), ILR1993KAR920, 1992(3)KARLJ622 JUDGMENT Shivashankar Bhat, J. 1. The appeal is by three of the respondents in the company petition whereby the present respondents Nos. 1 and 2 had approached the court under sections 397, 398 and 433(f) of the Companies Act, 1956 (""the Act"" for short). The parties will be referred hereinafter with reference to their rankings in the company petition. The reliefs sought by the petitioners are : ""(a) Declaring that minutes as recorded in the meeting of the board of directors purported to have been held on November 14, 1987, November 28, 1987, February 13, 1988, are illegal, improper and be deleted from the minutes book of the meeting of the board of directors ; (b) Declaring that no meeting was held pursuant to the meeting notices dated March 19, 1988, May 14, 1988 and July 26, 1988 on March 28, 1988, May 25, 1988, and March 6, 1988, or any other date and even if any such meeting was held, that the same is non est. in the eye of law; (c) Declaring that petitioners continue to be directors of the first respondent-company ; (d) Declaring that the purported co-option of the fourth respondent as a director of the first respondent is illegal and non est in the eye of law ; (e) Declaring the fifth respondent not to take on record From No. 32 filed by respondent No. 2 on August 19, 1988, purporting to notify that fifth respondent that petitioners Nos 1 and 2 had vacated their office as directors of the first respondent-company pursuant to section 283(1)(g) of the Companies Act and that the fourth respondent had been co-opted as a director of the first respondent-company ; (f) Issuing an order of permanent injunction restraining respondents Nos. 2 and 3 Rakhra Sports Private Ltd. And Others vs Khraitilal Rakhra And Others on 1 January, 1800 Indian Kanoon - http://indiankanoon.org/doc/333616/ 1 from interfering with the rights of the petitioner to act as directors of the first respondent-company; (g) Issuing an order of permanent injunction against the fourth respondent from acting as director of the first respondent-company. (h) Directing respondents Nos. 2 and 3 of the purchase shares of petitioners in the first respondent-company at a value of Rs. 1,000 per share or directing respondents Nos. 2 and 3 to sell their shareholding of the first respondent-company to the petitioners at the same value of",Excise/Tax,Non-Violent,No Injury,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Excise/Tax because the document indicates central excise, excise duty, assessable value, customs duty. Under the Constitution of India, the rights engaged are Article 265, Article 14, Article 19(1)(g), Article 300A, Article 301, Article 21. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law, Doctrine of Reasonable Classification."
